Rating,Review,User,Date
4,분위기가 좋아서 데이트 장소로 딱입니다.,사용자17,2024-01-05
4,티라미수가 정말 부드럽고 맛있어요.,사용자27,2024-01-06
5,분위기가 좋아서 데이트 장소로 딱입니다.,사용자11,2024-01-07
4,커피가 진하고 맛있습니다.,사용자47,2024-01-07
4,조용하고 아늑해서 혼자 책 읽기 좋아요.,사용자45,2024-01-11
5,파스타 면이 알덴테로 딱 맞게 익혀져 있네요.,사용자44,2024-01-17
4,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자11,2024-01-17
3,예약 없이 갔는데도 자리 안내를 잘해주셨어요.,사용자30,2024-01-18
4,예약 없이 갔는데도 자리 안내를 잘해주셨어요.,사용자32,2024-01-24
4,예약 없이 갔는데도 자리 안내를 잘해주셨어요.,사용자35,2024-01-27
3,인테리어가 세련되고 감각적이에요.,사용자35,2024-02-06
5,인테리어가 세련되고 감각적이에요.,사용자8,2024-02-10
5,조용하고 아늑해서 혼자 책 읽기 좋아요.,사용자12,2024-02-12
3,조용하고 아늑해서 혼자 책 읽기 좋아요.,사용자47,2024-02-13
5,파스타 면이 알덴테로 딱 맞게 익혀져 있네요.,사용자19,2024-02-14
4,인테리어가 세련되고 감각적이에요.,사용자9,2024-02-22
5,커피가 진하고 맛있습니다.,사용자19,2024-02-23
3,피자가 진짜 이탈리아에서 먹던 맛 그대로예요!,사용자7,2024-02-28
4,인테리어가 세련되고 감각적이에요.,사용자43,2024-03-02
4,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자15,2024-03-04
5,커피가 진하고 맛있습니다.,사용자31,2024-03-06
3,티라미수가 정말 부드럽고 맛있어요.,사용자41,2024-03-11
5,분위기가 좋아서 데이트 장소로 딱입니다.,사용자19,2024-03-12
5,커피가 진하고 맛있습니다.,사용자46,2024-03-16
5,예약 없이 갔는데도 자리 안내를 잘해주셨어요.,사용자13,2024-03-19
4,피자가 진짜 이탈리아에서 먹던 맛 그대로예요!,사용자2,2024-03-23
5,분위기가 좋아서 데이트 장소로 딱입니다.,사용자19,2024-03-27
3,조용하고 아늑해서 혼자 책 읽기 좋아요.,사용자12,2024-04-05
5,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자36,2024-04-06
3,파스타 면이 알덴테로 딱 맞게 익혀져 있네요.,사용자31,2024-04-08
4,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자11,2024-04-08
5,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자19,2024-04-09
5,조용하고 아늑해서 혼자 책 읽기 좋아요.,사용자12,2024-04-12
3,예약 없이 갔는데도 자리 안내를 잘해주셨어요.,사용자47,2024-04-15
3,파스타 면이 알덴테로 딱 맞게 익혀져 있네요.,사용자4,2024-04-18
5,분위기가 좋아서 데이트 장소로 딱입니다.,사용자14,2024-04-21
3,피자가 진짜 이탈리아에서 먹던 맛 그대로예요!,사용자21,2024-04-23
4,피자가 진짜 이탈리아에서 먹던 맛 그대로예요!,사용자9,2024-04-24
3,파스타 면이 알덴테로 딱 맞게 익혀져 있네요.,사용자39,2024-04-27
4,가격은 조금 비싸지만 서비스는 만족스러워요.,사용자43,2024-04-30
3,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자33,2024-05-04
3,조용하고 아늑해서 혼자 책 읽기 좋아요.,사용자45,2024-05-21
4,예약 없이 갔는데도 자리 안내를 잘해주셨어요.,사용자31,2024-05-22
4,커피가 진하고 맛있습니다.,사용자27,2024-05-25
3,티라미수가 정말 부드럽고 맛있어요.,사용자8,2024-05-27
5,조용하고 아늑해서 혼자 책 읽기 좋아요.,사용자37,2024-05-29
3,가격은 조금 비싸지만 서비스는 만족스러워요.,사용자6,2024-06-06
5,피자가 진짜 이탈리아에서 먹던 맛 그대로예요!,사용자34,2024-06-06
5,가격은 조금 비싸지만 서비스는 만족스러워요.,사용자45,2024-06-10
3,티라미수가 정말 부드럽고 맛있어요.,사용자45,2024-06-11
3,커피가 진하고 맛있습니다.,사용자4,2024-06-17
4,조용하고 아늑해서 혼자 책 읽기 좋아요.,사용자2,2024-06-18
5,티라미수가 정말 부드럽고 맛있어요.,사용자49,2024-06-24
4,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자3,2024-06-26
4,가격은 조금 비싸지만 서비스는 만족스러워요.,사용자28,2024-07-02
3,예약 없이 갔는데도 자리 안내를 잘해주셨어요.,사용자25,2024-07-04
4,분위기가 좋아서 데이트 장소로 딱입니다.,사용자47,2024-07-05
3,파스타 면이 알덴테로 딱 맞게 익혀져 있네요.,사용자14,2024-07-08
4,피자가 진짜 이탈리아에서 먹던 맛 그대로예요!,사용자17,2024-07-09
4,파스타 면이 알덴테로 딱 맞게 익혀져 있네요.,사용자6,2024-07-09
5,예약 없이 갔는데도 자리 안내를 잘해주셨어요.,사용자37,2024-07-15
3,피자가 진짜 이탈리아에서 먹던 맛 그대로예요!,사용자34,2024-07-17
4,피자가 진짜 이탈리아에서 먹던 맛 그대로예요!,사용자42,2024-07-18
5,분위기가 좋아서 데이트 장소로 딱입니다.,사용자25,2024-07-19
3,분위기가 좋아서 데이트 장소로 딱입니다.,사용자31,2024-07-20
3,가격은 조금 비싸지만 서비스는 만족스러워요.,사용자12,2024-07-20
3,파스타 면이 알덴테로 딱 맞게 익혀져 있네요.,사용자44,2024-07-21
3,파스타 면이 알덴테로 딱 맞게 익혀져 있네요.,사용자49,2024-07-23
4,티라미수가 정말 부드럽고 맛있어요.,사용자8,2024-07-27
5,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자33,2024-07-27
3,예약 없이 갔는데도 자리 안내를 잘해주셨어요.,사용자17,2024-07-28
4,티라미수가 정말 부드럽고 맛있어요.,사용자38,2024-07-29
3,커피가 진하고 맛있습니다.,사용자41,2024-07-30
5,예약 없이 갔는데도 자리 안내를 잘해주셨어요.,사용자6,2024-08-01
3,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자44,2024-08-03
3,티라미수가 정말 부드럽고 맛있어요.,사용자49,2024-08-03
5,티라미수가 정말 부드럽고 맛있어요.,사용자15,2024-08-04
5,커피가 진하고 맛있습니다.,사용자48,2024-08-05
4,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자48,2024-08-18
3,피자가 진짜 이탈리아에서 먹던 맛 그대로예요!,사용자30,2024-08-26
4,커피가 진하고 맛있습니다.,사용자16,2024-08-30
4,파스타 면이 알덴테로 딱 맞게 익혀져 있네요.,사용자30,2024-08-31
3,예약 없이 갔는데도 자리 안내를 잘해주셨어요.,사용자12,2024-09-01
3,예약 없이 갔는데도 자리 안내를 잘해주셨어요.,사용자40,2024-09-02
5,예약 없이 갔는데도 자리 안내를 잘해주셨어요.,사용자35,2024-09-03
4,커피가 진하고 맛있습니다.,사용자7,2024-09-04
3,가격은 조금 비싸지만 서비스는 만족스러워요.,사용자14,2024-09-05
3,분위기가 좋아서 데이트 장소로 딱입니다.,사용자29,2024-09-10
4,티라미수가 정말 부드럽고 맛있어요.,사용자15,2024-09-10
4,분위기가 좋아서 데이트 장소로 딱입니다.,사용자20,2024-09-12
3,가격은 조금 비싸지만 서비스는 만족스러워요.,사용자4,2024-09-22
3,가격은 조금 비싸지만 서비스는 만족스러워요.,사용자34,2024-09-25
4,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자49,2024-09-27
4,피자가 진짜 이탈리아에서 먹던 맛 그대로예요!,사용자33,2024-10-01
4,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자1,2024-10-03
3,분위기가 좋아서 데이트 장소로 딱입니다.,사용자8,2024-10-03
3,커피가 진하고 맛있습니다.,사용자49,2024-10-06
4,분위기가 좋아서 데이트 장소로 딱입니다.,사용자4,2024-10-06
5,파스타 면이 알덴테로 딱 맞게 익혀져 있네요.,사용자23,2024-10-09
3,인테리어가 세련되고 감각적이에요.,사용자7,2024-10-09
4,인테리어가 세련되고 감각적이에요.,사용자21,2024-10-16
5,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자1,2024-10-17
4,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자42,2024-10-25
5,조용하고 아늑해서 혼자 책 읽기 좋아요.,사용자24,2024-10-25
4,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자34,2024-10-26
3,티라미수가 정말 부드럽고 맛있어요.,사용자12,2024-10-29
4,커피가 진하고 맛있습니다.,사용자47,2024-11-05
4,분위기가 좋아서 데이트 장소로 딱입니다.,사용자41,2024-11-05
4,티라미수가 정말 부드럽고 맛있어요.,사용자41,2024-11-07
5,예약 없이 갔는데도 자리 안내를 잘해주셨어요.,사용자6,2024-11-08
4,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자1,2024-11-10
4,직원분들이 친절해서 기분 좋게 식사했습니다.,사용자7,2024-11-13
3,피자가 진짜 이탈리아에서 먹던 맛 그대로예요!,사용자13,2024-11-20
4,인테리어가 세련되고 감각적이에요.,사용자4,2024-11-25
4,인테리어가 세련되고 감각적이에요.,사용자9,2024-12-02
5,예약 없이 갔는데도 자리 안내를 잘해주셨어요.,사용자20,2024-12-03
3,티라미수가 정말 부드럽고 맛있어요.,사용자39,2024-12-12
3,커피가 진하고 맛있습니다.,사용자40,2024-12-23
3,분위기가 좋아서 데이트 장소로 딱입니다.,사용자11,2024-12-28
5,커피가 진하고 맛있습니다.,사용자4,2024-12-29
